CustomerID,Product,PurchaseDate,Quantity,UnitPrice,CustomerName,ProductCategory,PaymentMethod,ReviewRating,TotalPrice,Year,Month,Day,Weekday,Quarter,IsWeekend,MonthName,YearMonth,CustomerLifetimeValue,PurchaseFrequency,DaysSinceLastPurchase,AverageOrderValue,RevenuePerCategory,RevenuePerCustomer
C8827,Phone,2023-09-06,5,467.51,Customer C8827,Furniture,Online,2,2337.55,2023,9,6,2,3,0,Sep,2023-09,2337.55,1,663,2337.55,1083282.25,2337.55
C1067,Monitor,2024-12-01,5,600.51,Customer C1067,Electronics,Debit Card,4,3002.55,2024,12,1,6,4,1,Dec,2024-12,3002.55,1,211,3002.55,1049911.98,3002.55
C3719,Tablet,2024-10-12,7,6.92,Customer C3719,Office Supplies,Gift Card,5,48.44,2024,10,12,5,4,1,Oct,2024-10,48.44,1,261,48.44,1133462.57,48.44
C8138,Monitor,2023-09-29,3,194.81,Customer C8138,Furniture,Cash,5,584.4300000000001,2023,9,29,4,3,0,Sep,2023-09,584.4300000000001,1,640,584.4300000000001,1083282.25,584.4300000000001
C7824,Chair,2024-06-15,2,559.15,Customer C7824,Office Supplies,Online,1,1118.3,2024,6,15,5,2,1,Jun,2024-06,3030.31,3,41,1010.1033333333334,1133462.57,3030.31
C4856,Desk,2024-10-09,3,224.5,Customer C4856,Furniture,Debit Card,5,673.5,2024,10,9,2,4,0,Oct,2024-10,673.5,1,264,673.5,1083282.25,673.5
C4788,Chair,2024-01-03,2,749.32,Customer C4788,Furniture,Credit Card,3,1498.64,2024,1,3,2,1,0,Jan,2024-01,1498.64,1,544,1498.64,1083282.25,1498.64
C4679,Laptop,2024-06-11,2,492.58,Customer C4679,Furniture,Cash,5,985.16,2024,6,11,1,2,0,Jun,2024-06,985.16,1,384,985.16,1083282.25,985.16
C7284,Printer,2024-08-22,2,148.12,Customer C7284,Furniture,Debit Card,5,296.24,2024,8,22,3,3,0,Aug,2024-08,296.24,1,312,296.24,1083282.25,296.24
C2387,Laptop,2024-08-18,7,705.72,Customer C2387,Furniture,Credit Card,4,4940.04,2024,8,18,6,3,1,Aug,2024-08,4940.04,1,316,4940.04,1083282.25,4940.04
C1661,Tablet,2023-12-29,1,157.45,Customer C1661,Furniture,Gift Card,2,157.45,2023,12,29,4,4,0,Dec,2023-12,3035.0499999999997,2,149,1517.5249999999999,1083282.25,3035.0499999999997
C7692,Laptop,2025-02-09,2,584.05,Customer C7692,Office Supplies,Credit Card,4,1168.1,2025,2,9,6,1,1,Feb,2025-02,1168.1,1,141,1168.1,1133462.57,1168.1
C7789,Phone,2024-10-24,8,267.56,Customer C7789,Office Supplies,Debit Card,2,2140.48,2024,10,24,3,4,0,Oct,2024-10,2140.48,1,249,2140.48,1133462.57,2140.48
C7793,Monitor,2024-09-13,2,756.45,Customer C7793,Furniture,Credit Card,2,1512.9,2024,9,13,4,3,0,Sep,2024-09,1512.9,1,290,1512.9,1083282.25,1512.9
C3454,Phone,2023-05-18,2,121.84,Customer C3454,Office Supplies,Debit Card,1,243.68,2023,5,18,3,2,0,May,2023-05,243.68,1,774,243.68,1133462.57,243.68
C5278,Phone,2025-01-03,2,219.1,Customer C5278,Office Supplies,Cash,5,438.2,2025,1,3,4,1,0,Jan,2025-01,438.2,1,178,438.2,1133462.57,438.2
C3802,Chair,2023-07-28,4,322.31,Customer C3802,Electronics,Debit Card,3,1289.24,2023,7,28,4,3,0,Jul,2023-07,1289.24,1,703,1289.24,1049911.98,1289.24
C7470,Laptop,2023-03-22,3,477.77,Customer C7470,Furniture,Cash,1,1433.31,2023,3,22,2,1,0,Mar,2023-03,3619.89,2,316,1809.945,1083282.25,3619.89
C5254,Monitor,2023-10-29,1,45.88,Customer C5254,Office Supplies,Credit Card,4,45.88,2023,10,29,6,4,1,Oct,2023-10,45.88,1,610,45.88,1133462.57,45.88
C7480,Printer,2024-03-21,3,185.15,Customer C7480,Office Supplies,Cash,1,555.45,2024,3,21,3,1,0,Mar,2024-03,555.45,1,466,555.45,1133462.57,555.45
C3130,Laptop,2023-03-15,3,562.1,Customer C3130,Office Supplies,Gift Card,1,1686.3,2023,3,15,2,1,0,Mar,2023-03,1686.3,1,838,1686.3,1133462.57,1686.3
C3032,Laptop,2025-02-21,3,142.41,Customer C3032,Office Supplies,Gift Card,1,427.23,2025,2,21,4,1,0,Feb,2025-02,427.23,1,129,427.23,1133462.57,427.23
C4007,Laptop,2023-01-03,7,422.55,Customer C4007,Furniture,Cash,1,2957.85,2023,1,3,1,1,0,Jan,2023-01,2957.85,1,909,2957.85,1083282.25,2957.85
C9078,Monitor,2024-02-01,4,442.91,Customer C9078,Furniture,Credit Card,5,1771.64,2024,2,1,3,1,0,Feb,2024-02,1771.64,1,515,1771.64,1083282.25,1771.64
C6015,Laptop,2024-08-18,8,35.0,Customer C6015,Electronics,Credit Card,4,280.0,2024,8,18,6,3,1,Aug,2024-08,280.0,1,316,280.0,1049911.98,280.0
C6157,Tablet,2024-12-06,5,242.27,Customer C6157,Electronics,Cash,5,1211.35,2024,12,6,4,4,0,Dec,2024-12,1211.35,1,206,1211.35,1049911.98,1211.35
C3763,Laptop,2023-03-27,6,354.48,Customer C3763,Office Supplies,Gift Card,5,2126.88,2023,3,27,0,1,0,Mar,2023-03,2126.88,1,826,2126.88,1133462.57,2126.88
C8736,Tablet,2024-11-24,8,268.22,Customer C8736,Office Supplies,Debit Card,2,2145.76,2024,11,24,6,4,1,Nov,2024-11,2145.76,1,218,2145.76,1133462.57,2145.76
C5592,Laptop,2024-04-30,2,208.61,Customer C5592,Electronics,Cash,2,417.22,2024,4,30,1,2,0,Apr,2024-04,417.22,1,426,417.22,1049911.98,417.22
C3280,Tablet,2023-03-12,4,108.63,Customer C3280,Office Supplies,Gift Card,3,434.52,2023,3,12,6,1,1,Mar,2023-03,434.52,1,841,434.52,1133462.57,434.52
C5151,Monitor,2024-08-10,8,164.45,Customer C5151,Electronics,Credit Card,2,1315.6,2024,8,10,5,3,1,Aug,2024-08,1315.6,1,324,1315.6,1049911.98,1315.6
C6267,Desk,2025-04-05,8,207.35,Customer C6267,Office Supplies,Credit Card,5,1658.8,2025,4,5,5,2,1,Apr,2025-04,1658.8,1,86,1658.8,1133462.57,1658.8
C9907,Desk,2025-06-20,5,223.34,Customer C9907,Electronics,Online,2,1116.7,2025,6,20,4,2,0,Jun,2025-06,1116.7,1,10,1116.7,1049911.98,1116.7
C1813,Laptop,2023-03-19,8,193.52,Customer C1813,Furniture,Cash,4,1548.16,2023,3,19,6,1,1,Mar,2023-03,1548.16,1,834,1548.16,1083282.25,1548.16
C8036,Desk,2023-12-19,8,446.4,Customer C8036,Electronics,Credit Card,3,3571.2,2023,12,19,1,4,0,Dec,2023-12,4163.44,2,281,2081.72,1049911.98,4163.44
C4434,Printer,2023-02-14,4,77.48,Customer C4434,Office Supplies,Cash,2,309.92,2023,2,14,1,1,0,Feb,2023-02,1195.94,2,261,597.97,1133462.57,1195.94
C3557,Desk,2025-03-08,7,283.8,Customer C3557,Furniture,Credit Card,5,1986.6,2025,3,8,5,1,1,Mar,2025-03,1986.6,1,114,1986.6,1083282.25,1986.6
C4213,Desk,2023-09-02,5,696.64,Customer C4213,Electronics,Gift Card,1,3483.2,2023,9,2,5,3,1,Sep,2023-09,3483.2,1,667,3483.2,1049911.98,3483.2
C7988,Tablet,2024-04-16,4,102.51,Customer C7988,Electronics,Online,4,410.04,2024,4,16,1,2,0,Apr,2024-04,410.04,1,440,410.04,1049911.98,410.04
C2295,Printer,2023-06-17,5,532.44,Customer C2295,Office Supplies,Gift Card,1,2662.2,2023,6,17,5,2,1,Jun,2023-06,2662.2,1,744,2662.2,1133462.57,2662.2
C2463,Printer,2024-07-20,1,551.09,Customer C2463,Electronics,Cash,5,551.09,2024,7,20,5,3,1,Jul,2024-07,551.09,1,345,551.09,1049911.98,551.09
C6671,Printer,2023-05-16,6,431.45,Customer C6671,Furniture,Debit Card,5,2588.7,2023,5,16,1,2,0,May,2023-05,2588.7,1,776,2588.7,1083282.25,2588.7
C3039,Printer,2023-02-04,6,733.87,Customer C3039,Furniture,Online,5,4403.22,2023,2,4,5,1,1,Feb,2023-02,4403.22,1,877,4403.22,1083282.25,4403.22
C1184,Printer,2024-09-27,5,275.86,Customer C1184,Office Supplies,Credit Card,5,1379.3,2024,9,27,4,3,0,Sep,2024-09,1379.3,1,276,1379.3,1133462.57,1379.3
C1509,Tablet,2024-06-05,8,310.69,Customer C1509,Furniture,Debit Card,1,2485.52,2024,6,5,2,2,0,Jun,2024-06,2485.52,1,390,2485.52,1083282.25,2485.52
C8097,Tablet,2025-06-23,6,755.15,Customer C8097,Office Supplies,Credit Card,3,4530.9,2025,6,23,0,2,0,Jun,2025-06,4530.9,1,7,4530.9,1133462.57,4530.9
C3739,Printer,2023-01-15,7,714.61,Customer C3739,Electronics,Debit Card,2,5002.27,2023,1,15,6,1,1,Jan,2023-01,5002.27,1,897,5002.27,1049911.98,5002.27
C7466,Chair,2023-10-03,7,518.0,Customer C7466,Office Supplies,Credit Card,2,3626.0,2023,10,3,1,4,0,Oct,2023-10,3626.0,1,636,3626.0,1133462.57,3626.0
C8446,Monitor,2023-03-06,4,137.51,Customer C8446,Electronics,Cash,4,550.04,2023,3,6,0,1,0,Mar,2023-03,4633.04,3,241,1544.3466666666666,1049911.98,4633.04
C5448,Laptop,2024-05-30,3,532.46,Customer C5448,Office Supplies,Gift Card,1,1597.38,2024,5,30,3,2,0,May,2024-05,2353.76,2,396,1176.88,1133462.57,2353.76
C9577,Desk,2024-11-19,4,180.72,Customer C9577,Office Supplies,Online,2,722.88,2024,11,19,1,4,0,Nov,2024-11,722.88,1,223,722.88,1133462.57,722.88
C2330,Monitor,2023-03-28,1,724.47,Customer C2330,Office Supplies,Cash,5,724.47,2023,3,28,1,1,0,Mar,2023-03,724.47,1,825,724.47,1133462.57,724.47
C4020,Chair,2023-06-29,1,324.92,Customer C4020,Furniture,Debit Card,3,324.92,2023,6,29,3,2,0,Jun,2023-06,324.92,1,732,324.92,1083282.25,324.92
C9075,Desk,2025-03-28,8,73.74,Customer C9075,Electronics,Debit Card,1,589.92,2025,3,28,4,1,0,Mar,2025-03,589.92,1,94,589.92,1049911.98,589.92
C6286,Monitor,2025-05-02,6,428.89,Customer C6286,Furniture,Gift Card,4,2573.34,2025,5,2,4,2,0,May,2025-05,2573.34,1,59,2573.34,1083282.25,2573.34
C7102,Chair,2024-02-22,3,239.55,Customer C7102,Furniture,Cash,4,718.6500000000001,2024,2,22,3,1,0,Feb,2024-02,718.6500000000001,1,494,718.6500000000001,1083282.25,718.6500000000001
C9618,Monitor,2025-03-02,5,780.03,Customer C9618,Furniture,Credit Card,2,3900.15,2025,3,2,6,1,1,Mar,2025-03,7754.450000000001,2,120,3877.2250000000004,1083282.25,7754.450000000001
C1353,Printer,2024-09-06,2,778.43,Customer C1353,Furniture,Gift Card,4,1556.86,2024,9,6,4,3,0,Sep,2024-09,1556.86,1,297,1556.86,1083282.25,1556.86
C5180,Monitor,2024-12-29,3,512.36,Customer C5180,Furniture,Online,5,1537.08,2024,12,29,6,4,1,Dec,2024-12,1537.08,1,183,1537.08,1083282.25,1537.08
C1452,Tablet,2023-06-30,2,235.11,Customer C1452,Furniture,Debit Card,1,470.22,2023,6,30,4,2,0,Jun,2023-06,470.22,1,731,470.22,1083282.25,470.22
C5649,Phone,2024-06-06,2,406.09,Customer C5649,Electronics,Debit Card,5,812.18,2024,6,6,3,2,0,Jun,2024-06,812.18,1,389,812.18,1049911.98,812.18
C4229,Tablet,2025-04-09,8,23.72,Customer C4229,Electronics,Debit Card,5,189.76,2025,4,9,2,2,0,Apr,2025-04,189.76,1,82,189.76,1049911.98,189.76
C4760,Phone,2024-02-25,1,566.54,Customer C4760,Office Supplies,Online,2,566.54,2024,2,25,6,1,1,Feb,2024-02,566.54,1,491,566.54,1133462.57,566.54
C3716,Laptop,2025-02-13,1,286.54,Customer C3716,Furniture,Gift Card,4,286.54,2025,2,13,3,1,0,Feb,2025-02,286.54,1,137,286.54,1083282.25,286.54
C3704,Desk,2023-08-21,5,452.08,Customer C3704,Office Supplies,Online,2,2260.4,2023,8,21,0,3,0,Aug,2023-08,2260.4,1,679,2260.4,1133462.57,2260.4
C4946,Laptop,2025-01-13,1,471.49,Customer C4946,Office Supplies,Debit Card,2,471.49,2025,1,13,0,1,0,Jan,2025-01,471.49,1,168,471.49,1133462.57,471.49
C1241,Monitor,2025-05-24,1,362.07,Customer C1241,Electronics,Debit Card,4,362.07,2025,5,24,5,2,1,May,2025-05,362.07,1,37,362.07,1049911.98,362.07
C1895,Phone,2023-05-11,6,769.43,Customer C1895,Office Supplies,Online,2,4616.58,2023,5,11,3,2,0,May,2023-05,7702.110000000001,2,736,3851.0550000000003,1133462.57,7702.110000000001
C5586,Printer,2023-04-21,3,379.63,Customer C5586,Office Supplies,Cash,4,1138.89,2023,4,21,4,2,0,Apr,2023-04,1926.3300000000002,2,188,963.1650000000001,1133462.57,1926.3300000000002
C3244,Tablet,2024-05-27,2,322.94,Customer C3244,Furniture,Debit Card,3,645.88,2024,5,27,0,2,0,May,2024-05,645.88,1,399,645.88,1083282.25,645.88
C9710,Laptop,2023-08-06,6,729.68,Customer C9710,Furniture,Gift Card,4,4378.08,2023,8,6,6,3,1,Aug,2023-08,4378.08,1,694,4378.08,1083282.25,4378.08
C6777,Printer,2024-11-04,1,693.07,Customer C6777,Electronics,Online,3,693.07,2024,11,4,0,4,0,Nov,2024-11,1425.67,2,234,712.835,1049911.98,1425.67
C1583,Printer,2024-02-22,6,657.93,Customer C1583,Furniture,Cash,2,3947.58,2024,2,22,3,1,0,Feb,2024-02,6252.98,2,494,3126.49,1083282.25,6252.98
C3940,Tablet,2024-12-10,2,656.86,Customer C3940,Electronics,Online,5,1313.72,2024,12,10,1,4,0,Dec,2024-12,1313.72,1,202,1313.72,1049911.98,1313.72
C7824,Laptop,2025-05-20,6,286.05,Customer C7824,Furniture,Cash,3,1716.3,2025,5,20,1,2,0,May,2025-05,3030.31,3,41,1010.1033333333334,1083282.25,3030.31
C4033,Tablet,2024-06-12,7,19.66,Customer C4033,Electronics,Debit Card,5,137.62,2024,6,12,2,2,0,Jun,2024-06,137.62,1,383,137.62,1049911.98,137.62
C5271,Chair,2023-11-03,4,43.43,Customer C5271,Electronics,Gift Card,4,173.72,2023,11,3,4,4,0,Nov,2023-11,173.72,1,605,173.72,1049911.98,173.72
C7071,Tablet,2024-01-03,6,475.09,Customer C7071,Electronics,Cash,4,2850.54,2024,1,3,2,1,0,Jan,2024-01,2850.54,1,544,2850.54,1049911.98,2850.54
C2155,Phone,2023-10-08,3,179.24,Customer C2155,Electronics,Cash,2,537.72,2023,10,8,6,4,1,Oct,2023-10,1933.3600000000001,2,631,966.6800000000001,1049911.98,1933.3600000000001
C3770,Phone,2024-10-19,5,628.39,Customer C3770,Furniture,Cash,2,3141.95,2024,10,19,5,4,1,Oct,2024-10,3141.95,1,254,3141.95,1083282.25,3141.95
C7736,Desk,2023-11-01,7,485.73,Customer C7736,Electronics,Gift Card,3,3400.11,2023,11,1,2,4,0,Nov,2023-11,3400.11,1,607,3400.11,1049911.98,3400.11
C7641,Chair,2025-04-20,6,236.38,Customer C7641,Furniture,Cash,4,1418.28,2025,4,20,6,2,1,Apr,2025-04,1418.28,1,71,1418.28,1083282.25,1418.28
C2426,Phone,2023-04-29,8,719.65,Customer C2426,Office Supplies,Gift Card,5,5757.2,2023,4,29,5,2,1,Apr,2023-04,5757.2,1,793,5757.2,1133462.57,5757.2
C3756,Chair,2023-01-14,7,768.99,Customer C3756,Furniture,Cash,2,5382.93,2023,1,14,5,1,1,Jan,2023-01,5382.93,1,898,5382.93,1083282.25,5382.93
C6229,Printer,2024-08-03,8,401.32,Customer C6229,Office Supplies,Online,3,3210.56,2024,8,3,5,3,1,Aug,2024-08,3210.56,1,331,3210.56,1133462.57,3210.56
C5058,Desk,2024-01-15,8,353.5,Customer C5058,Office Supplies,Online,2,2828.0,2024,1,15,0,1,0,Jan,2024-01,2828.0,1,532,2828.0,1133462.57,2828.0
C5596,Laptop,2025-02-17,3,179.52,Customer C5596,Electronics,Online,2,538.5600000000001,2025,2,17,0,1,0,Feb,2025-02,538.5600000000001,1,133,538.5600000000001,1049911.98,538.5600000000001
C9332,Desk,2023-02-04,4,330.14,Customer C9332,Electronics,Cash,4,1320.56,2023,2,4,5,1,1,Feb,2023-02,2145.8,2,690,1072.9,1049911.98,2145.8
C7363,Chair,2023-11-06,2,770.06,Customer C7363,Office Supplies,Credit Card,5,1540.12,2023,11,6,0,4,0,Nov,2023-11,1540.12,1,602,1540.12,1133462.57,1540.12
C9590,Chair,2023-03-07,6,129.85,Customer C9590,Electronics,Cash,1,779.0999999999999,2023,3,7,1,1,0,Mar,2023-03,779.0999999999999,1,846,779.0999999999999,1049911.98,779.0999999999999
C8205,Monitor,2023-11-21,3,251.56,Customer C8205,Office Supplies,Credit Card,2,754.6800000000001,2023,11,21,1,4,0,Nov,2023-11,754.6800000000001,1,587,754.6800000000001,1133462.57,754.6800000000001
C1099,Desk,2025-04-01,6,520.01,Customer C1099,Furniture,Debit Card,2,3120.06,2025,4,1,1,2,0,Apr,2025-04,5125.7,2,90,2562.85,1083282.25,5125.7
C1617,Phone,2024-09-03,6,117.79,Customer C1617,Electronics,Credit Card,2,706.74,2024,9,3,1,3,0,Sep,2024-09,2254.1,2,300,1127.05,1049911.98,2254.1
C1936,Laptop,2024-12-20,3,159.38,Customer C1936,Electronics,Online,5,478.14,2024,12,20,4,4,0,Dec,2024-12,478.14,1,192,478.14,1049911.98,478.14
C8577,Printer,2024-04-21,3,684.11,Customer C8577,Furniture,Credit Card,5,2052.33,2024,4,21,6,2,1,Apr,2024-04,6670.5,3,292,2223.5,1083282.25,6670.5
C1708,Printer,2023-11-15,3,242.71,Customer C1708,Electronics,Gift Card,5,728.13,2023,11,15,2,4,0,Nov,2023-11,728.13,1,593,728.13,1049911.98,728.13
C5691,Printer,2023-10-08,2,704.73,Customer C5691,Electronics,Credit Card,1,1409.46,2023,10,8,6,4,1,Oct,2023-10,1409.46,1,631,1409.46,1049911.98,1409.46
C3265,Monitor,2023-09-25,1,661.06,Customer C3265,Furniture,Debit Card,4,661.06,2023,9,25,0,3,0,Sep,2023-09,661.06,1,644,661.06,1083282.25,661.06
C7346,Phone,2024-09-12,2,571.9,Customer C7346,Office Supplies,Debit Card,2,1143.8,2024,9,12,3,3,0,Sep,2024-09,1143.8,1,291,1143.8,1133462.57,1143.8
C4849,Printer,2024-10-20,1,748.55,Customer C4849,Electronics,Debit Card,4,748.55,2024,10,20,6,4,1,Oct,2024-10,748.55,1,253,748.55,1049911.98,748.55
C6609,Desk,2024-03-16,1,463.78,Customer C6609,Furniture,Debit Card,3,463.78,2024,3,16,5,1,1,Mar,2024-03,463.78,1,471,463.78,1083282.25,463.78
C4090,Desk,2023-08-11,7,363.49,Customer C4090,Electronics,Credit Card,4,2544.43,2023,8,11,4,3,0,Aug,2023-08,2544.43,1,689,2544.43,1049911.98,2544.43
C8888,Printer,2023-08-25,7,417.97,Customer C8888,Electronics,Gift Card,2,2925.79,2023,8,25,4,3,0,Aug,2023-08,2925.79,1,675,2925.79,1049911.98,2925.79
C2946,Desk,2023-03-20,2,173.91,Customer C2946,Furniture,Gift Card,2,347.82,2023,3,20,0,1,0,Mar,2023-03,347.82,1,833,347.82,1083282.25,347.82
C7113,Chair,2023-07-04,3,765.71,Customer C7113,Electronics,Cash,2,2297.13,2023,7,4,1,3,0,Jul,2023-07,2297.13,1,727,2297.13,1049911.98,2297.13
C3783,Phone,2024-06-27,6,182.24,Customer C3783,Office Supplies,Gift Card,2,1093.44,2024,6,27,3,2,0,Jun,2024-06,1093.44,1,368,1093.44,1133462.57,1093.44
C1268,Chair,2024-03-26,5,32.12,Customer C1268,Electronics,Gift Card,2,160.6,2024,3,26,1,1,0,Mar,2024-03,160.6,1,461,160.6,1049911.98,160.6
C6425,Tablet,2023-10-31,3,371.15,Customer C6425,Furniture,Cash,5,1113.45,2023,10,31,1,4,0,Oct,2023-10,1113.45,1,608,1113.45,1083282.25,1113.45
C7038,Laptop,2024-08-22,7,233.93,Customer C7038,Electronics,Cash,3,1637.51,2024,8,22,3,3,0,Aug,2024-08,2478.71,2,312,1239.355,1049911.98,2478.71
C6599,Monitor,2023-10-23,4,570.12,Customer C6599,Furniture,Debit Card,5,2280.48,2023,10,23,0,4,0,Oct,2023-10,2280.48,1,616,2280.48,1083282.25,2280.48
C6177,Chair,2025-04-19,3,247.99,Customer C6177,Office Supplies,Cash,5,743.97,2025,4,19,5,2,1,Apr,2025-04,743.97,1,72,743.97,1133462.57,743.97
C8133,Chair,2025-03-24,1,304.0,Customer C8133,Electronics,Cash,3,304.0,2025,3,24,0,1,0,Mar,2025-03,304.0,1,98,304.0,1049911.98,304.0
C8269,Chair,2023-06-15,7,791.31,Customer C8269,Electronics,Gift Card,2,5539.17,2023,6,15,3,2,0,Jun,2023-06,5539.17,1,746,5539.17,1049911.98,5539.17
C2652,Monitor,2024-02-08,7,122.16,Customer C2652,Office Supplies,Gift Card,5,855.12,2024,2,8,3,1,0,Feb,2024-02,855.12,1,508,855.12,1133462.57,855.12
C4617,Printer,2024-02-16,3,250.16,Customer C4617,Office Supplies,Debit Card,3,750.48,2024,2,16,4,1,0,Feb,2024-02,750.48,1,500,750.48,1133462.57,750.48
C9640,Laptop,2024-09-08,6,778.27,Customer C9640,Office Supplies,Cash,5,4669.62,2024,9,8,6,3,1,Sep,2024-09,4669.62,1,295,4669.62,1133462.57,4669.62
C8863,Monitor,2024-04-01,3,146.37,Customer C8863,Office Supplies,Online,5,439.11,2024,4,1,0,2,0,Apr,2024-04,439.11,1,455,439.11,1133462.57,439.11
C3242,Printer,2023-12-16,2,179.71,Customer C3242,Office Supplies,Online,5,359.42,2023,12,16,5,4,1,Dec,2023-12,359.42,1,562,359.42,1133462.57,359.42
C3118,Printer,2023-06-23,7,788.9,Customer C3118,Office Supplies,Online,2,5522.3,2023,6,23,4,2,0,Jun,2023-06,5522.3,1,738,5522.3,1133462.57,5522.3
C2847,Monitor,2023-04-16,5,653.01,Customer C2847,Furniture,Credit Card,3,3265.05,2023,4,16,6,2,1,Apr,2023-04,3265.05,1,806,3265.05,1083282.25,3265.05
C7461,Printer,2023-12-26,4,164.36,Customer C7461,Office Supplies,Cash,1,657.44,2023,12,26,1,4,0,Dec,2023-12,1210.3600000000001,2,552,605.1800000000001,1133462.57,1210.3600000000001
C4070,Monitor,2024-11-22,3,320.65,Customer C4070,Office Supplies,Online,5,961.9499999999999,2024,11,22,4,4,0,Nov,2024-11,961.9499999999999,1,220,961.9499999999999,1133462.57,961.9499999999999
C5274,Laptop,2023-02-05,8,664.08,Customer C5274,Office Supplies,Gift Card,2,5312.64,2023,2,5,6,1,1,Feb,2023-02,5312.64,1,876,5312.64,1133462.57,5312.64
C9800,Phone,2023-02-01,3,709.1,Customer C9800,Furniture,Credit Card,4,2127.3,2023,2,1,2,1,0,Feb,2023-02,6189.22,2,862,3094.61,1083282.25,6189.22
C5072,Monitor,2023-06-24,2,577.4,Customer C5072,Electronics,Gift Card,4,1154.8,2023,6,24,5,2,1,Jun,2023-06,1154.8,1,737,1154.8,1049911.98,1154.8
C6415,Laptop,2024-07-26,4,223.88,Customer C6415,Electronics,Gift Card,2,895.52,2024,7,26,4,3,0,Jul,2024-07,4340.67,2,256,2170.335,1049911.98,4340.67
C3490,Monitor,2024-10-20,4,794.6,Customer C3490,Electronics,Gift Card,2,3178.4,2024,10,20,6,4,1,Oct,2024-10,3178.4,1,253,3178.4,1049911.98,3178.4
C2872,Laptop,2024-04-29,4,31.12,Customer C2872,Furniture,Cash,4,124.48,2024,4,29,0,2,0,Apr,2024-04,124.48,1,427,124.48,1083282.25,124.48
C5085,Printer,2024-04-24,8,689.21,Customer C5085,Office Supplies,Debit Card,3,5513.68,2024,4,24,2,2,0,Apr,2024-04,6551.92,2,432,3275.96,1133462.57,6551.92
C8446,Chair,2024-08-14,6,290.5,Customer C8446,Electronics,Online,2,1743.0,2024,8,14,2,3,0,Aug,2024-08,4633.04,3,241,1544.3466666666666,1049911.98,4633.04
C5020,Printer,2023-12-27,4,367.42,Customer C5020,Furniture,Gift Card,3,1469.68,2023,12,27,2,4,0,Dec,2023-12,1469.68,1,551,1469.68,1083282.25,1469.68
